row,subject_id,trial_type,target_stimulus,test_stimulus,target_blur,blur_rt,blur_response,attention_probe,attention_delay,attention_duration,attention_rt,attention_response,trial_index,time_elapsed
48,NULL,jspsych-blurry-word,stimuli/want2.png,stimuli/want0.png,4,206.585,5,up,2438.55,50,NULL,NULL,47,25037
49,NULL,jspsych-blurry-word,stimuli/want0.png,stimuli/want0.png,7,166.575,5,up,752.957,50,NULL,NULL,48,25206
50,NULL,jspsych-blurry-word,stimuli/been0.png,stimuli/been0.png,3,183.03,5,none,767.445,50,NULL,NULL,49,25390
51,NULL,jspsych-blurry-word,stimuli/look0.png,stimuli/look0.png,6,191.135,5,down,1963.97,50,NULL,NULL,50,25583
52,NULL,jspsych-blurry-word,stimuli/neck2.png,stimuli/neck2.png,3,190.935,5,up,1068.28,50,NULL,NULL,51,25775
53,NULL,jspsych-blurry-word,stimuli/look0.png,stimuli/look2.png,4,190.75,5,down,1239.96,50,NULL,NULL,52,25967
54,NULL,jspsych-blurry-word,stimuli/much2.png,stimuli/much2.png,6,191.58,5,up,2683.66,50,NULL,NULL,53,26160
55,NULL,jspsych-blurry-word,stimuli/look0.png,stimuli/look0.png,7,189.745,5,down,463.633,50,NULL,NULL,54,26352
56,NULL,jspsych-blurry-word,stimuli/want2.png,stimuli/want0.png,3,190.735,5,up,1011.9,50,NULL,NULL,55,26544
57,NULL,jspsych-blurry-word,stimuli/much2.png,stimuli/much0.png,4,199.255,5,up,2816.78,50,NULL,NULL,56,26744
58,NULL,jspsych-blurry-word,stimuli/much2.png,stimuli/much0.png,7,191.335,5,up,361.96,50,NULL,NULL,57,26937
59,NULL,jspsych-blurry-word,stimuli/much0.png,stimuli/much2.png,4,207.47,5,none,1017.55,50,NULL,NULL,58,27147
60,NULL,jspsych-blurry-word,stimuli/want0.png,stimuli/want2.png,4,189.35,5,down,779.114,50,NULL,NULL,59,27338
61,NULL,jspsych-blurry-word,stimuli/want0.png,stimuli/want0.png,3,206.63,5,up,2023.2,50,NULL,NULL,60,27546
62,NULL,jspsych-blurry-word,stimuli/look2.png,stimuli/look0.png,6,199.93,5,none,670.243,50,NULL,NULL,61,27747
63,NULL,jspsych-blurry-word,stimuli/want0.png,stimuli/want2.png,6,180.94,5,down,816.912,50,NULL,NULL,62,27931
64,NULL,jspsych-blurry-word,stimuli/test0.png,stimuli/test2.png,7,190.9,5,up,1868.53,50,NULL,NULL,63,28124
65,NULL,jspsych-blurry-word,stimuli/much0.png,stimuli/much0.png,4,198.99,5,up,2080.2,50,NULL,NULL,64,28324
66,NULL,jspsych-blurry-word,stimuli/been0.png,stimuli/been2.png,4,190.735,5,up,1189.85,50,NULL,NULL,65,28516
67,NULL,jspsych-blurry-word,stimuli/want0.png,stimuli/want0.png,4,231.185,5,up,199.079,50,NULL,NULL,66,28749
68,NULL,jspsych-blurry-word,stimuli/been0.png,stimuli/been0.png,4,198.33,5,down,2745.97,50,NULL,NULL,67,28950
69,NULL,jspsych-blurry-word,stimuli/much0.png,stimuli/much0.png,6,214.13,5,up,1828.24,50,NULL,NULL,68,29165
70,NULL,jspsych-blurry-word,stimuli/been2.png,stimuli/been2.png,7,228.525,5,none,1823.66,50,NULL,NULL,69,29398
71,NULL,jspsych-blurry-word,stimuli/want2.png,stimuli/want2.png,4,215.575,5,down,881.505,50,NULL,NULL,70,29615
72,NULL,jspsych-blurry-word,stimuli/been2.png,stimuli/been0.png,7,238.895,5,none,70.6413,50,NULL,NULL,71,29856
73,NULL,jspsych-blurry-word,stimuli/look2.png,stimuli/look0.png,3,229.94,5,down,1763.21,50,NULL,NULL,72,30087
74,NULL,jspsych-blurry-word,stimuli/want2.png,stimuli/want0.png,7,214.825,5,down,2549.57,50,NULL,NULL,73,30304
75,NULL,jspsych-blurry-word,stimuli/much2.png,stimuli/much0.png,3,207.395,5,down,925.018,50,NULL,NULL,74,30513
76,NULL,jspsych-blurry-word,stimuli/been0.png,stimuli/been0.png,7,207,5,none,657.7,50,NULL,NULL,75,30721
77,NULL,jspsych-blurry-word,stimuli/want0.png,stimuli/want2.png,3,192.195,5,none,191,50,NULL,NULL,76,30914
78,NULL,jspsych-blurry-word,stimuli/neck2.png,stimuli/neck0.png,6,213.435,5,up,2136.79,50,NULL,NULL,77,31130
79,NULL,jspsych-blurry-word,stimuli/look2.png,stimuli/look2.png,4,214.655,5,down,641.63,50,NULL,NULL,78,31346
80,NULL,jspsych-blurry-word,stimuli/room2.png,stimuli/room0.png,6,246.71,5,up,2075.68,50,NULL,NULL,79,31595
81,NULL,jspsych-blurry-word,stimuli/much2.png,stimuli/much2.png,7,191.205,5,none,1883.65,50,NULL,NULL,80,31787
