row,trial_type,target_stimulus,test_stimulus,target_blur,blur_rt,attention_probe,attention_delay,attention_duration,attention_rt,attention_response,trial_index,time_elapsed
56,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,html-keyboard-response,1242.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,html-keyboard-response,358.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,html-keyboard-response,348.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,html-keyboard-response,324.365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,html-keyboard-response,607.985,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,html-keyboard-response,164.955,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,html-keyboard-response,741.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
151,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,jspsych-blurry-word,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,call-function,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,html-keyboard-response,34882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,html-keyboard-response,315.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,382
167,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,706
168,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,996
169,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,1372
170,jspsych-blurry-word,stimuli/dead2.png,stimuli/dead0.png,7,3249.7,up,3766.23,50,NULL,NULL,4,4642
171,jspsych-blurry-word,stimuli/book0.png,stimuli/book0.png,4,521.61,down,3152.24,50,NULL,NULL,5,5166
172,jspsych-blurry-word,stimuli/dead2.png,stimuli/dead0.png,6,478.8,up,3543.71,50,NULL,NULL,6,5647
173,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,6401
174,jspsych-blurry-word,stimuli/room2.png,stimuli/room2.png,4,NULL,down,3962.05,50,862.87,32,8,7278
175,jspsych-blurry-word,stimuli/dead0.png,stimuli/dead0.png,3,NULL,up,3486.61,50,363.7,32,9,7651
176,jspsych-blurry-word,stimuli/dead0.png,stimuli/dead2.png,3,NULL,down,4925.86,50,322.375,32,10,7976
177,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,8802
178,jspsych-blurry-word,stimuli/dead2.png,stimuli/dead0.png,3,6997.17,up,3678.39,50,5285.51,32,12,15802
179,jspsych-blurry-word,stimuli/dead0.png,stimuli/dead2.png,4,5309.62,up,3215.96,50,3560,32,13,21113
180,jspsych-blurry-word,stimuli/book2.png,stimuli/book2.png,3,6383.23,up,4192.54,50,4816.68,32,14,27499
181,jspsych-blurry-word,stimuli/dead2.png,stimuli/dead2.png,4,6126.85,up,4269.06,50,4558.29,32,15,33629
182,html-keyboard-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,36859
183,jspsych-blurry-word,stimuli/want2.png,stimuli/want0.png,3,5890.96,up,5014.45,50,NULL,NULL,17,42762
184,jspsych-blurry-word,stimuli/neck2.png,stimuli/neck0.png,7,5941.73,down,3483.63,50,4222.69,32,18,48706
185,jspsych-blurry-word,stimuli/want2.png,stimuli/want0.png,4,2317.33,none,3816.95,50,NULL,NULL,19,51025
186,jspsych-blurry-word,stimuli/long0.png,stimuli/long0.png,3,3656.89,up,4308.08,50,2026.36,32,20,54685
187,jspsych-blurry-word,stimuli/long0.png,stimuli/long2.png,4,2265.61,none,3324.43,50,NULL,NULL,21,56953
188,jspsych-blurry-word,stimuli/long2.png,stimuli/long0.png,3,6542.9,up,4657.31,50,4970.98,32,22,63498
189,jspsych-blurry-word,stimuli/want0.png,stimuli/want0.png,3,5520.19,up,5070,50,NULL,NULL,23,69020
190,jspsych-blurry-word,stimuli/want2.png,stimuli/want2.png,7,3915.75,up,5138.53,50,2391.59,32,24,72938
191,jspsych-blurry-word,stimuli/book2.png,stimuli/book2.png,3,158.355,up,4192.54,50,NULL,NULL,25,73099
192,jspsych-blurry-word,stimuli/look0.png,stimuli/look2.png,7,174.135,up,3361.66,50,NULL,NULL,26,73275
193,jspsych-blurry-word,stimuli/look0.png,stimuli/look2.png,6,158.285,up,3164.32,50,NULL,NULL,27,73435
194,jspsych-blurry-word,stimuli/long0.png,stimuli/long0.png,6,150.5,down,3602.96,50,NULL,NULL,28,73588
195,jspsych-blurry-word,stimuli/neck2.png,stimuli/neck0.png,4,157.72,up,5526.96,50,NULL,NULL,29,73747
196,jspsych-blurry-word,stimuli/long2.png,stimuli/long0.png,4,158.065,down,4305.09,50,NULL,NULL,30,73908
197,jspsych-blurry-word,stimuli/long0.png,stimuli/long2.png,3,157.74,down,3732.69,50,NULL,NULL,31,74068
198,jspsych-blurry-word,stimuli/neck2.png,stimuli/neck2.png,6,174.195,none,4450.86,50,NULL,NULL,32,74244
199,jspsych-blurry-word,stimuli/want0.png,stimuli/want2.png,6,165.235,up,5727.54,50,NULL,NULL,33,74413
200,jspsych-blurry-word,stimuli/dead2.png,stimuli/dead0.png,3,277.345,up,3678.39,50,NULL,NULL,34,74692
201,jspsych-blurry-word,stimuli/want2.png,stimuli/want0.png,7,182.26,up,4934.99,50,NULL,NULL,35,74877
202,jspsych-blurry-word,stimuli/look2.png,stimuli/look2.png,3,181.825,none,3059.33,50,NULL,NULL,36,75061
203,jspsych-blurry-word,stimuli/neck0.png,stimuli/neck2.png,6,166.095,down,3993.34,50,NULL,NULL,37,75230
204,jspsych-blurry-word,stimuli/long0.png,stimuli/long2.png,7,172.265,up,5926.47,50,NULL,NULL,38,75405
